date,country_code,country_name,GDP_usd,CPI_index,FX_local_per_USD,Exports_usd,Imports_usd,Trade_balance_usd,Interest_rate_percent,WTI_usd_per_barrel
2007-04-01,VNM,Vietnam,82843395173.96574,73.7225706359855,16154.40625,58374499794.08783,69634499311.32935,-11259999517.241516,12.33089285714285,63.977
2007-05-01,VNM,Vietnam,84653051721.20593,75.0650964802777,16170.833333333334,59635663885.15113,71147378301.12033,-11511714415.9692,12.7145238095238,63.45454545454545
2007-06-01,VNM,Vietnam,86462708268.4461,76.4076223245699,16187.260416666666,60896827976.21444,72660257290.91132,-11763429314.696877,13.09815476190475,67.48904761904762
2007-07-01,VNM,Vietnam,88272364815.6863,77.7501481688621,16203.6875,62157992067.27775,74173136280.7023,-12015144213.424553,13.4817857142857,74.11761904761904
2007-08-01,VNM,Vietnam,90082021362.92648,79.0926740131543,16220.114583333334,63419156158.34106,75686015270.49329,-12266859112.15223,13.86541666666665,72.35608695652174
2007-09-01,VNM,Vietnam,91891677910.16666,80.43519985744649,16236.541666666666,64680320249.404366,77198894260.28427,-12518574010.879906,14.2490476190476,79.91473684210526
2007-10-01,VNM,Vietnam,93701334457.40685,81.77772570173869,16252.96875,65941484340.46767,78711773250.07524,-12770288909.607574,14.632678571428551,85.7986956521739
2007-11-01,VNM,Vietnam,95510991004.64703,83.1202515460309,16269.395833333334,67202648431.530975,80224652239.86623,-13022003808.33525,15.0163095238095,94.77238095238096
2007-12-01,VNM,Vietnam,97320647551.8872,84.4627773903231,16285.822916666666,68463812522.594284,81737531229.65721,-13273718707.062927,15.399940476190451,91.687
2008-01-01,VNM,Vietnam,99130304099.1274,85.8053032346153,16302.25,69724976613.6576,83250410219.4482,-13525433605.790604,15.7835714285714,92.97047619047619
2008-02-01,VNM,Vietnam,99704000387.96794,86.28559718243648,16365.819444444442,69445778170.90822,82682363438.23515,-13236585267.326935,15.307357142857118,95.386
2008-03-01,VNM,Vietnam,100277696676.8085,86.76589113025764,16429.388888888883,69166579728.15884,82114316657.0221,-12947736928.86325,14.831142857142835,105.454
